CBSA Name,season,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans,Temp,RH,Pressure,Wind,Precip
"Albany, GA",Summer,31.576917,-84.100194,10.323255814,41.2441860465,9.63302903947,38.8648648649,19.8666666667,18.4,NA,NA,NA,NA,NA,NA,NA,NA,"Albany, GASummer",Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0,82.3607189542,NA,1016.26627219,3.8773637281,400.5
"Albany, GA",Winter,31.576917,-84.100194,13.7372881356,48.1016949153,13.3236284819,48.4444444444,18.2666666667,17.0,NA,NA,NA,NA,NA,NA,NA,NA,"Albany, GAWinter",Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0,47.6141434846,NA,1018.05143519,5.49768042167,407.7
"Albany-Lebanon, OR",Fall,44.3958,-122.7305,12.2461538462,47.0,7.76729809043,31.1871657754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albany-Lebanon, ORFall",Micropolitan Statistical Area,116672.0,2290.1,50.9,1420.0,33172.0,0.778959727604,4206.0,0.0987671715393,4996.0,0.117318304567,211.0,0.00495479628977,42585.0,NA,NA,NA,NA,NA
"Albany-Lebanon, OR",Winter,44.3958,-122.7305,11.775,45.0,10.8544597521,41.4748603352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albany-Lebanon, ORWinter",Micropolitan Statistical Area,116672.0,2290.1,50.9,1420.0,33172.0,0.778959727604,4206.0,0.0987671715393,4996.0,0.117318304567,211.0,0.00495479628977,42585.0,NA,NA,NA,NA,NA
"Albany-Schenectady-Troy, NY",Fall,42.649675,-73.7551587857,6.64857142857,26.3642857143,7.41167022816,30.1982758621,NA,NA,0.345358805556,4.57222222222,NA,NA,0.0215458472222,23.9305555556,1.98963745556,4.04074074074,"Albany-Schenectady-Troy, NYFall",Metropolitan Statistical Area,870716.0,2811.6,309.7,2944.9,350401.0,0.805241870619,35349.0,0.0812340572216,36603.0,0.0841158221303,12797.0,0.0294082500287,435150.0,43.9222394282,NA,1014.27890707,6.3183211125,565.7
"Albany-Schenectady-Troy, NY",Spring,42.6485240741,-73.7550783704,7.27703703704,29.7777777778,7.15231433645,29.9834710744,NA,NA,0.322863512048,3.84337349398,NA,NA,0.0358328091398,39.7311827957,1.77070523166,4.80694980695,"Albany-Schenectady-Troy, NYSpring",Metropolitan Statistical Area,870716.0,2811.6,309.7,2944.9,350401.0,0.805241870619,35349.0,0.0812340572216,36603.0,0.0841158221303,12797.0,0.0294082500287,435150.0,56.7066468313,NA,1013.58558437,6.07108797132,357.9
"Albany-Schenectady-Troy, NY",Summer,42.6504246575,-73.7552111644,9.72945205479,36.7739726027,9.23824071495,35.1393442623,NA,NA,0.326867417582,3.90659340659,NA,NA,0.0326479891008,38.6021798365,1.54736795817,3.95437262357,"Albany-Schenectady-Troy, NYSummer",Metropolitan Statistical Area,870716.0,2811.6,309.7,2944.9,350401.0,0.805241870619,35349.0,0.0812340572216,36603.0,0.0841158221303,12797.0,0.0294082500287,435150.0,70.9744858044,NA,1014.18230691,5.50171411981,232.7
"Albany-Schenectady-Troy, NY",Winter,42.6486184211,-73.7550849624,8.27894736842,31.9323308271,9.3376091875,36.5169491525,NA,NA,0.362642301676,4.6312849162,NA,NA,0.0307266638655,30.431372549,1.89818364444,3.88888888889,"Albany-Schenectady-Troy, NYWinter",Metropolitan Statistical Area,870716.0,2811.6,309.7,2944.9,350401.0,0.805241870619,35349.0,0.0812340572216,36603.0,0.0841158221303,12797.0,0.0294082500287,435150.0,29.73157378,NA,1012.6513222,7.71240161943,222.7
"Albuquerque, NM",Fall,35.1032743017,-106.582404637,5.64972067039,23.4357541899,7.91551821208,30.35,25.6334056399,23.5292841649,0.445122956113,7.05015673981,16.1230019875,31.6375,0.0272097465753,33.2694063927,NA,NA,"Albuquerque, NMFall",Metropolitan Statistical Area,887077.0,9282.5,95.6,3518.6,312856.0,0.801865901169,37598.0,0.0963655936026,33740.0,0.0864773426287,5966.0,0.0152911626,390160.0,NA,NA,NA,NA,NA
"Albuquerque, NM",Spring,35.1021335025,-106.582301853,5.50203045685,22.7918781726,5.82561118289,23.9511677282,37.956,33.518,0.345664223744,4.24657534247,9.16932228571,24.1538461538,0.0402434884995,45.9967141292,NA,NA,"Albuquerque, NMSpring",Metropolitan Statistical Area,887077.0,9282.5,95.6,3518.6,312856.0,0.801865901169,37598.0,0.0963655936026,33740.0,0.0864773426287,5966.0,0.0152911626,390160.0,53.6,NA,NA,15.6803093333,NA
"Albuquerque, NM",Summer,35.0995183908,-106.582066236,4.56206896552,18.9712643678,5.93614487156,24.1602067183,26.6530612245,24.3346938776,0.312143306011,3.6174863388,7.56426011957,19.3260869565,0.0374029335548,43.723145072,NA,NA,"Albuquerque, NMSummer",Metropolitan Statistical Area,887077.0,9282.5,95.6,3518.6,312856.0,0.801865901169,37598.0,0.0963655936026,33740.0,0.0864773426287,5966.0,0.0152911626,390160.0,NA,NA,NA,NA,NA
"Albuquerque, NM",Winter,35.1037174497,-106.582444564,5.16979865772,21.2617449664,6.7479967874,26.84,22.1434689507,20.3768736617,0.449178949886,7.30296127563,16.1301051,33.9444444444,0.0273734555556,33.01,NA,NA,"Albuquerque, NMWinter",Metropolitan Statistical Area,887077.0,9282.5,95.6,3518.6,312856.0,0.801865901169,37598.0,0.0963655936026,33740.0,0.0864773426287,5966.0,0.0152911626,390160.0,NA,NA,NA,NA,NA
"Alexandria, LA",Fall,31.177638,-92.410611,8.28333333333,33.5333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alexandria, LAFall",Metropolitan Statistical Area,153922.0,1961.0,78.5,803.2,50113.0,0.838094123156,6165.0,0.103103990367,2784.0,0.0465598555039,732.0,0.012242030973,59794.0,60.7037147103,NA,1018.24893617,4.8920936107,192.2
"Alexandria, LA",Spring,31.177638,-92.410611,9.35862068966,38.1379310345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alexandria, LASpring",Metropolitan Statistical Area,153922.0,1961.0,78.5,803.2,50113.0,0.838094123156,6165.0,0.103103990367,2784.0,0.0465598555039,732.0,0.012242030973,59794.0,72.6422769231,NA,1014.26306104,5.18246497434,282.7
"Alexandria, LA",Summer,31.177638,-92.410611,10.564516129,41.2903225806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alexandria, LASummer",Metropolitan Statistical Area,153922.0,1961.0,78.5,803.2,50113.0,0.838094123156,6165.0,0.103103990367,2784.0,0.0465598555039,732.0,0.012242030973,59794.0,82.3411240165,NA,1014.51156836,3.95792082251,348.4
"Alexandria, LA",Winter,31.177638,-92.410611,8.55517241379,34.8275862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alexandria, LAWinter",Metropolitan Statistical Area,153922.0,1961.0,78.5,803.2,50113.0,0.838094123156,6165.0,0.103103990367,2784.0,0.0465598555039,732.0,0.012242030973,59794.0,48.522647363,NA,1019.02643519,5.6321105605,445.6
"Allegan, MI",Fall,42.767786,-86.148577,8.46,32.7333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.0266988888889,33.0,NA,NA,"Allegan, MIFall",Micropolitan Statistical Area,111408.0,825.2,135.0,349.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5875592105,NA,1015.41185714,7.1444264581,189.9
"Allegan, MI",Fall,42.767786,-86.148577,8.46,32.7333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.0266988888889,33.0,NA,NA,"Allegan, MIFall",Micropolitan Statistical Area,111408.0,825.2,135.0,349.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5875592105,NA,1015.41185714,7.1444264581,189.9
"Allegan, MI",Spring,42.767786,-86.148577,6.82580645161,27.7419354839,NA,NA,NA,NA,NA,NA,NA,NA,0.0380135060241,42.686746988,NA,NA,"Allegan, MISpring",Micropolitan Statistical Area,111408.0,825.2,135.0,349.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.2759063136,NA,1013.55570714,6.91371360826,469.7
"Allegan, MI",Spring,42.767786,-86.148577,6.82580645161,27.7419354839,NA,NA,NA,NA,NA,NA,NA,NA,0.0380135060241,42.686746988,NA,NA,"Allegan, MISpring",Micropolitan Statistical Area,111408.0,825.2,135.0,349.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.2759063136,NA,1013.55570714,6.91371360826,469.7
"Allegan, MI",Summer,42.767786,-86.148577,9.30333333333,36.8666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.0367305543478,46.2391304348,NA,NA,"Allegan, MISummer",Micropolitan Statistical Area,111408.0,825.2,135.0,349.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.0891214215,NA,1014.92169384,5.14356631913,490.6
"Allegan, MI",Summer,42.767786,-86.148577,9.30333333333,36.8666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.0367305543478,46.2391304348,NA,NA,"Allegan, MISummer",Micropolitan Statistical Area,111408.0,825.2,135.0,349.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.0891214215,NA,1014.92169384,5.14356631913,490.6
"Allegan, MI",Winter,42.767786,-86.148577,9.55333333333,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allegan, MIWinter",Micropolitan Statistical Area,111408.0,825.2,135.0,349.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9869626421,NA,1017.58863636,6.74057426793,120.2
"Allegan, MI",Winter,42.767786,-86.148577,9.55333333333,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allegan, MIWinter",Micropolitan Statistical Area,111408.0,825.2,135.0,349.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9869626421,NA,1017.58863636,6.74057426793,120.2
"Allentown-Bethlehem-Easton, PA-NJ",Fall,40.6935830448,-75.2936294482,10.9896994174,37.9925925926,8.0652765597,32.5945945946,14.6888888889,13.5666666667,0.324166655556,3.82222222222,11.6340311333,21.2111111111,0.0205798333333,29.3166666667,2.16831818436,15.4469273743,"Allentown-Bethlehem-Easton, PA-NJFall",Metropolitan Statistical Area,821173.0,1453.2,565.1,3889.3,277398.0,0.821185191325,28982.0,0.0857958212207,27152.0,0.0803784465456,4270.0,0.0126405409086,337802.0,47.3677419355,NA,1014.90823012,5.83342261664,657.0
"Allentown-Bethlehem-Easton, PA-NJ",Spring,40.6411238561,-75.3458804388,10.4508523525,38.8636363636,11.35,43.8125,17.427027027,16.1243243243,0.30986591954,3.41379310345,9.7901477093,20.6860465116,0.0337009638554,44.1325301205,1.81813502151,11.6989247312,"Allentown-Bethlehem-Easton, PA-NJSpring",Metropolitan Statistical Area,821173.0,1453.2,565.1,3889.3,277398.0,0.821185191325,28982.0,0.0857958212207,27152.0,0.0803784465456,4270.0,0.0126405409086,337802.0,60.094038835,NA,1014.0531106,5.73647519168,499.9
