,CBSA Name,Mode,Total
148,"Albany, GA",Drive Alone,58744.0
149,"Albany, GA",Drive Alone,58744.0
150,"Albany, GA",Drive Alone,58744.0
151,"Albany, GA",Drive Alone,58744.0
152,"Albany, GA",Drive Alone,58744.0
153,"Albany, GA",Drive Alone,58744.0
154,"Albany, GA",Drive Alone,58744.0
155,"Albany, GA",Drive Alone,58744.0
156,"Albany, GA",Drive Alone,58744.0
157,"Albany, GA",Drive Alone,58744.0
158,"Albany, GA",Drive Alone,58744.0
159,"Albany, GA",Drive Alone,58744.0
160,"Albany, GA",Drive Alone,58744.0
161,"Albany, GA",Drive Alone,58744.0
162,"Albany, GA",Drive Alone,58744.0
163,"Albany, GA",Drive Alone,58744.0
164,"Albany, GA",Drive Alone,58744.0
165,"Albany, GA",Drive Alone,58744.0
166,"Albany, GA",Drive Alone,58744.0
167,"Albany, GA",Drive Alone,58744.0
168,"Albany, GA",Drive Alone,58744.0
169,"Albany, GA",Drive Alone,58744.0
170,"Albany, GA",Drive Alone,58744.0
171,"Albany, GA",Drive Alone,58744.0
172,"Albany, GA",Drive Alone,58744.0
173,"Albany, GA",Drive Alone,58744.0
174,"Albany, GA",Drive Alone,58744.0
175,"Albany, GA",Drive Alone,58744.0
176,"Albany, GA",Drive Alone,58744.0
177,"Albany, GA",Drive Alone,58744.0
178,"Albany, GA",Drive Alone,58744.0
179,"Albany, GA",Drive Alone,58744.0
180,"Albany, GA",Drive Alone,58744.0
181,"Albany, GA",Drive Alone,58744.0
182,"Albany, GA",Drive Alone,58744.0
183,"Albany, GA",Drive Alone,58744.0
184,"Albany, GA",Drive Alone,58744.0
185,"Albany, GA",Drive Alone,58744.0
186,"Albany, GA",Drive Alone,58744.0
187,"Albany, GA",Drive Alone,58744.0
188,"Albany, GA",Drive Alone,58744.0
189,"Albany, GA",Drive Alone,58744.0
190,"Albany, GA",Drive Alone,58744.0
191,"Albany, GA",Drive Alone,58744.0
192,"Albany, GA",Drive Alone,58744.0
193,"Albany, GA",Drive Alone,58744.0
194,"Albany, GA",Drive Alone,58744.0
195,"Albany, GA",Drive Alone,58744.0
196,"Albany, GA",Drive Alone,58744.0
197,"Albany, GA",Drive Alone,58744.0
198,"Albany, GA",Drive Alone,58744.0
199,"Albany, GA",Drive Alone,58744.0
200,"Albany-Lebanon, OR",Carpool,42585.0
201,"Albany-Lebanon, OR",Carpool,42585.0
202,"Albany-Lebanon, OR",Carpool,42585.0
203,"Albany-Lebanon, OR",Carpool,42585.0
204,"Albany-Lebanon, OR",Carpool,42585.0
205,"Albany-Lebanon, OR",Carpool,42585.0
206,"Albany-Lebanon, OR",Carpool,42585.0
207,"Albany-Lebanon, OR",Carpool,42585.0
208,"Albany-Lebanon, OR",Carpool,42585.0
209,"Albany-Lebanon, OR",Carpool,42585.0
210,"Albany-Lebanon, OR",Other,42585.0
211,"Albany-Lebanon, OR",Other,42585.0
212,"Albany-Lebanon, OR",Other,42585.0
213,"Albany-Lebanon, OR",Other,42585.0
214,"Albany-Lebanon, OR",Other,42585.0
215,"Albany-Lebanon, OR",Other,42585.0
216,"Albany-Lebanon, OR",Other,42585.0
217,"Albany-Lebanon, OR",Other,42585.0
218,"Albany-Lebanon, OR",Other,42585.0
219,"Albany-Lebanon, OR",Other,42585.0
220,"Albany-Lebanon, OR",Other,42585.0
221,"Albany-Lebanon, OR",Other,42585.0
222,"Albany-Lebanon, OR",Drive Alone,42585.0
223,"Albany-Lebanon, OR",Drive Alone,42585.0
224,"Albany-Lebanon, OR",Drive Alone,42585.0
225,"Albany-Lebanon, OR",Drive Alone,42585.0
226,"Albany-Lebanon, OR",Drive Alone,42585.0
227,"Albany-Lebanon, OR",Drive Alone,42585.0
228,"Albany-Lebanon, OR",Drive Alone,42585.0
229,"Albany-Lebanon, OR",Drive Alone,42585.0
230,"Albany-Lebanon, OR",Drive Alone,42585.0
231,"Albany-Lebanon, OR",Drive Alone,42585.0
232,"Albany-Lebanon, OR",Drive Alone,42585.0
233,"Albany-Lebanon, OR",Drive Alone,42585.0
234,"Albany-Lebanon, OR",Drive Alone,42585.0
235,"Albany-Lebanon, OR",Drive Alone,42585.0
236,"Albany-Lebanon, OR",Drive Alone,42585.0
237,"Albany-Lebanon, OR",Drive Alone,42585.0
238,"Albany-Lebanon, OR",Drive Alone,42585.0
239,"Albany-Lebanon, OR",Drive Alone,42585.0
240,"Albany-Lebanon, OR",Drive Alone,42585.0
241,"Albany-Lebanon, OR",Drive Alone,42585.0
242,"Albany-Lebanon, OR",Drive Alone,42585.0
243,"Albany-Lebanon, OR",Drive Alone,42585.0
244,"Albany-Lebanon, OR",Drive Alone,42585.0
245,"Albany-Lebanon, OR",Drive Alone,42585.0
246,"Albany-Lebanon, OR",Drive Alone,42585.0
247,"Albany-Lebanon, OR",Drive Alone,42585.0
248,"Albany-Lebanon, OR",Drive Alone,42585.0
249,"Albany-Lebanon, OR",Drive Alone,42585.0
250,"Albany-Lebanon, OR",Drive Alone,42585.0
251,"Albany-Lebanon, OR",Drive Alone,42585.0
252,"Albany-Lebanon, OR",Drive Alone,42585.0
