CBSA Name,season,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,TEMP,PRESS,RH,DP,WIND,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010
"Pittsburgh, PA",Spring,40.3956592127,-79.9744750138,9.41784085767,37.5660809778,11.378009839,42.9607843137,19.1087866109,17.6569037657,58.1295108,985.805187753,57.4454839247,NA,4.02441917204,0.347571599138,4.5625,7.05397771121,16.3254310345,0.0320245930034,38.6860068259,1.85824390752,10.2145499383,38300,Metropolitan Statistical Area,2356285.0,5281.5,446.1,2990.8
"Pittsburgh, PA",Summer,40.4076196521,-79.9514115758,11.3122286039,44.2850430697,12.7466244817,48.3070866142,20.2461734694,18.7308673469,70.2301096258,986.756657598,67.1297934867,NA,3.34198701087,0.31220541555,4.06434316354,6.03438819824,12.6057268722,0.0278252079566,38.4683544304,1.57805588221,7.81104294479,38300,Metropolitan Statistical Area,2356285.0,5281.5,446.1,2990.8
"Pittsburgh, PA",Winter,40.4212445034,-79.9683101699,10.6045604748,41.099009901,11.8695444762,45.3375,17.6829268293,16.3170731707,29.0716876291,986.238981489,58.3593234059,NA,5.01743687778,0.346903919395,4.63476070529,10.2872330093,19.5841121495,0.0260867951456,28.8233009709,3.0922952791,13.7634543179,38300,Metropolitan Statistical Area,2356285.0,5281.5,446.1,2990.8
"Pittsfield, MA",Fall,42.448009,-73.254108,5.55,23.1428571429,8.8921184593,35.5764705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0288801666667,28.0833333333,NA,NA,38340,Metropolitan Statistical Area,131219.0,926.8,141.6,1257.1
"Pittsfield, MA",Spring,42.448009,-73.254108,4.41724137931,18.4482758621,8.21421740805,33.4285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0417313225806,40.1612903226,NA,NA,38340,Metropolitan Statistical Area,131219.0,926.8,141.6,1257.1
"Pittsfield, MA",Summer,42.448009,-73.254108,7.13,29.7666666667,11.4195443333,45.4303797468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0339998369565,33.7282608696,NA,NA,38340,Metropolitan Statistical Area,131219.0,926.8,141.6,1257.1
"Pittsfield, MA",Winter,42.448009,-73.254108,6.9,27.3928571429,13.2097740778,49.1111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0380706075949,34.9240506329,NA,NA,38340,Metropolitan Statistical Area,131219.0,926.8,141.6,1257.1
"Platteville, WI",Fall,42.693,-90.698,8.26129032258,33.0322580645,8.08171651955,32.0898876404,NA,NA,40.0020889326,NA,NA,NA,6.46049247191,NA,NA,NA,NA,NA,NA,NA,NA,38420,Micropolitan Statistical Area,51208.0,1146.8,44.7,271.5
"Platteville, WI",Spring,42.693,-90.698,7.592,31.16,7.44426686264,30.3777777778,NA,NA,54.8472767609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38420,Micropolitan Statistical Area,51208.0,1146.8,44.7,271.5
"Platteville, WI",Summer,42.693,-90.698,6.95217391304,28.6956521739,6.9469840884,28.5222222222,NA,NA,68.0625000109,NA,NA,NA,5.24907407407,NA,NA,NA,NA,NA,NA,NA,NA,38420,Micropolitan Statistical Area,51208.0,1146.8,44.7,271.5
"Platteville, WI",Winter,42.693,-90.698,9.85416666667,37.625,11.1813446,41.6888888889,NA,NA,16.6925925889,NA,NA,NA,7.42954545455,NA,NA,NA,NA,NA,NA,NA,NA,38420,Micropolitan Statistical Area,51208.0,1146.8,44.7,271.5
"Pocatello, ID",Fall,42.978333,-112.455,7.20717703209,25.5102040816,NA,NA,15.90625,14.484375,44.8961827,865.537247489,57.6217832889,NA,NA,NA,NA,NA,NA,NA,NA,3.33080182222,16.1222222222,38540,Metropolitan Statistical Area,90656.0,2516.2,36.0,1803.9
"Pocatello, ID",Spring,42.978333,-112.455,5.55486111,22.214953271,NA,NA,19.16,17.595,47.5020299333,861.8504272,44.0256197333,NA,NA,NA,NA,NA,NA,NA,NA,5.36435608602,28.247311828,38540,Metropolitan Statistical Area,90656.0,2516.2,36.0,1803.9
"Pocatello, ID",Summer,42.978333,-112.455,8.34212458333,30.956043956,NA,NA,24.0507614213,22.2588832487,70.1146286413,864.421648543,39.1115035652,NA,NA,NA,NA,NA,NA,NA,NA,3.65768302174,20.4239130435,38540,Metropolitan Statistical Area,90656.0,2516.2,36.0,1803.9
"Pocatello, ID",Winter,42.978333,-112.455,6.83844286111,26.3085106383,NA,NA,12.1931818182,11.1306818182,32.9587500111,865.276388856,64.8385648444,NA,NA,NA,NA,NA,NA,NA,NA,4.11356884444,18.5777777778,38540,Metropolitan Statistical Area,90656.0,2516.2,36.0,1803.9
"Ponca City, OK",Fall,36.697274,-97.081321,11.302454,45.3,11.2928245251,44.0786516854,NA,NA,51.7144863889,NA,42.0722214833,NA,NA,NA,NA,NA,NA,0.0247098783784,28.527027027,1.0627402809,9.01123595506,38620,Micropolitan Statistical Area,46562.0,919.7,50.6,844.6
"Ponca City, OK",Spring,36.697274,-97.081321,10.3652904301,39.7849462366,11.4627459441,45.3977272727,NA,NA,64.4047062581,NA,42.3109774511,NA,NA,NA,NA,NA,NA,0.0411362903226,46.5806451613,2.88983098925,16.8709677419,38620,Micropolitan Statistical Area,46562.0,919.7,50.6,844.6
"Ponca City, OK",Summer,36.697274,-97.081321,8.66754156173,34.8227848101,13.5258103631,51.0459770115,NA,NA,76.61726525,NA,49.049037087,NA,NA,NA,NA,NA,NA,0.0334048369565,38.0652173913,2.19162367416,10.2471910112,38620,Micropolitan Statistical Area,46562.0,919.7,50.6,844.6
"Ponca City, OK",Winter,36.697274,-97.081321,8.35335111392,32.9240506329,10.0684450112,39.3370786517,NA,NA,34.8139494556,NA,36.0438796889,NA,NA,NA,NA,NA,NA,0.034368,36.0434782609,0.974809155556,7.68888888889,38620,Micropolitan Statistical Area,46562.0,919.7,50.6,844.6
"Ponce, PR",Fall,18.009558,-66.627249,4.6,19.2,NA,NA,26.735042735,24.4102564103,NA,NA,NA,NA,NA,0.31122224,3.48,NA,NA,NA,NA,NA,NA,38660,Metropolitan Statistical Area,243147.0,210.7,1154.1,4299.3
"Ponce, PR",Spring,18.009558,-66.627249,6.13793103448,25.275862069,NA,NA,25.7826086957,23.5652173913,NA,NA,NA,NA,NA,0.348954586667,4.48,NA,NA,NA,NA,NA,NA,38660,Metropolitan Statistical Area,243147.0,210.7,1154.1,4299.3
"Ponce, PR",Summer,18.009558,-66.627249,7.25,30.1666666667,NA,NA,34.4579439252,31.3925233645,NA,NA,NA,NA,NA,0.312586983051,3.79661016949,NA,NA,NA,NA,NA,NA,38660,Metropolitan Statistical Area,243147.0,210.7,1154.1,4299.3
"Ponce, PR",Winter,18.009558,-66.627249,4.52,18.8,NA,NA,28.9195402299,25.6896551724,NA,NA,NA,NA,NA,0.314451481013,3.83544303797,NA,NA,NA,NA,NA,NA,38660,Metropolitan Statistical Area,243147.0,210.7,1154.1,4299.3
"Portland-South Portland-Biddeford, ME",Fall,43.6616870769,-70.2679267393,5.54546298291,23.1736111111,6.42553778889,26.5555555556,19.4545454545,18.0,42.6355595667,1056.4458092,83.9570450889,NA,3.06554542,0.316898155556,3.88888888889,7.15905212222,15.0111111111,0.0207917149533,23.6074766355,0.642686567251,2.29239766082,38860,Metropolitan Statistical Area,514098.0,2079.6,247.2,1471.1
