CO,NO2,OZONE,PM10,PM25,SO2,city,id,population,popdense,area,other_frac,car_frac,pt_frac,Car,PT,Other,latitude,longitude,Precip,Pressure,RH,Site,Temp,Wind
NA,8.0920212766,0.025846,25.747,NA,0.170229007634,Quimper,FR19051,125487.0,507.075390371,247.4720769,NA,NA,NA,NA,NA,NA,47.998158,-4.104136,1163.1,1014.7381409,NA,072010-99999-2010,52.0141156463,7.40998344385
NA,8.55265957447,0.025424,15.847,NA,NA,Nevers,FR26017,101586.0,267.18386601,380.21008348,NA,NA,NA,NA,NA,NA,46.996669,3.170833,NA,NA,NA,NA,NA,NA
0.35807860262,14.0201241135,0.025692125,21.293,13.271,0.256106870229,Dijon,FR26010,377590.0,432.501022551,873.03839832,NA,NA,NA,NA,NA,NA,47.3263418333,5.0391665,777.9,1014.81167249,NA,072800-99999-2010,49.4469052241,6.12437505787
NA,11.2779255319,0.02900875,22.213,15.991,1.16221374046,Angers,FR23175,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,47.44869,-0.572061333333,613.8,1014.8858203,NA,072300-99999-2010,52.5226239067,5.7514355453
0.248908296943,7.71269946809,0.029711,22.6843333333,12.682,1.27665394402,Saint-Nazaire,FR23178,213083.0,528.228370104,403.3918132,NA,NA,NA,NA,NA,NA,47.3005142308,-2.17272423077,799.6,1015.01312966,NA,072170-99999-2010,51.6811085829,7.73649027687
NA,16.1510638298,0.0300181666667,28.235,14.799,0.784732824427,Avignon,FR08209,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,43.997574,4.8827868,631.7,NA,NA,074760-99999-2010,55.6570495392,6.87011960242
NA,19.974822695,0.0270725,30.4765,16.5,NA,Toulon,FR03068,611237.0,1410.89720837,433.2257491,0.28,0.67,0.05,409528.79,30561.85,171146.36,43.1256656667,5.92632133333,822.1,1011.95437532,NA,076670-99999-2010,57.6415506773,6.81417252466
0.426637554585,14.51643026,0.0234196428571,27.2928333333,21.2015,0.967366412214,Grenoble,FR15013,679863.0,671.063781588,1013.1123429,0.26,0.64,0.1,435112.32,67986.3,176764.38,45.1820161111,5.71614111111,1013.6,1014.51853752,NA,074860-99999-2010,48.4824701609,5.71213958077
NA,14.0875,0.02452725,26.202,18.825,1.89780534351,Calais,FR10016,126266.0,972.139039907,129.8847128,NA,NA,NA,NA,NA,NA,50.9523253333,1.83810916667,NA,NA,NA,NA,NA,NA
NA,15.795212766,0.0192035,26.458,21.146,1.18167938931,Vienne,FR27004,112334.0,1569.86911916,71.55628366,0.21,0.74,0.05,83127.16,5616.7,23590.14,45.525972,4.875408,NA,NA,NA,NA,NA,NA
NA,12.9659574468,0.02590875,NA,NA,2.34141221374,Le Havre,FR05069,290890.0,1227.31885247,237.01257372,0.35,0.57,0.08,165807.3,23271.2,101811.5,49.508879875,0.267627625,716.2,1014.63413768,NA,070280-99999-2010,50.413931213,8.88208892584
0.235807860262,13.9589095745,0.024733,25.669,20.815,0.219465648855,Mulhouse,FR16056,284739.0,1452.68669458,196.00854132,NA,NA,NA,NA,NA,NA,47.741875,7.332891,NA,NA,NA,NA,NA,NA
NA,16.1829787234,0.02378775,25.1505,NA,2.05687022901,Colmar,FR16053,127625.0,960.530521349,132.86928126,NA,NA,NA,NA,NA,NA,48.0715666667,7.34843866667,759.5,1014.81529715,NA,072990-99999-2010,49.6189288815,4.93223556251
